stateCode,state,city,name,code,latitude,longitude
AK,ALASKA,ADAK ISLAND,ADAK,'ADK,51-53-00.8954N,176-38-32.9277W
AK,ALASKA,ANCHORAGE,TED STEVENS ANCHORAGE INTL,'ANC,61-10-26.9634N,149-59-53.4791W
AK,ALASKA,BARROW,WILEY POST-WILL ROGERS MEMORIAL,'BRW,71-17-05.5000N,156-46-06.9000W
AK,ALASKA,BETHEL,BETHEL,'BET,60-46-42.8000N,161-50-13.8000W
AK,ALASKA,COLD BAY,COLD BAY,'CDB,55-12-21.3000N,162-43-34.5000W
AK,ALASKA,CORDOVA,MERLE K (MUDHOLE) SMITH,'CDV,60-29-30.4000N,145-28-39.2000W
AK,ALASKA,DEADHORSE,DEADHORSE,'SCC,70-11-41.1148N,148-27-54.5935W
AK,ALASKA,DILLINGHAM,DILLINGHAM,'DLG,59-02-40.8000N,158-30-19.8000W
AK,ALASKA,FAIRBANKS,FAIRBANKS INTL,'FAI,64-48-54.4000N,147-51-23.2000W
AK,ALASKA,GUSTAVUS,GUSTAVUS,'GST,58-25-31.0000N,135-42-26.7000W
AK,ALASKA,HOMER,HOMER,'HOM,59-38-41.9819N,151-29-08.9103W
AK,ALASKA,JUNEAU,JUNEAU INTL,'JNU,58-21-16.9625N,134-34-42.4939W
AK,ALASKA,KENAI,KENAI MUNI,'ENA,60-34-23.8000N,151-14-41.4000W
AK,ALASKA,KETCHIKAN,KETCHIKAN INTL,'KTN,55-21-14.7000N,131-42-40.4000W
AK,ALASKA,KING SALMON,KING SALMON,'AKN,58-40-35.3765N,156-38-55.2876W
AK,ALASKA,KODIAK,KODIAK,'ADQ,57-44-59.2580N,152-29-38.1970W
AK,ALASKA,KOTZEBUE,RALPH WIEN MEMORIAL,'OTZ,66-53-05.3000N,162-35-53.3000W
AK,ALASKA,NOME,NOME,'OME,64-30-45.2000N,165-26-39.8000W
AK,ALASKA,PETERSBURG,PETERSBURG JAMES A JOHNSON,'PSG,56-48-05.3000N,132-56-46.4000W
AK,ALASKA,SAND POINT,SAND POINT,'SDP,55-18-49.3000N,160-31-17.1000W
AK,ALASKA,SITKA,SITKA ROCKY GUTIERREZ,'SIT,57-02-48.6037N,135-21-39.8473W
AK,ALASKA,UNALASKA,UNALASKA,'DUT,53-53-56.2000N,166-32-42.1000W
AK,ALASKA,VALDEZ,VALDEZ PIONEER FIELD,'VDZ,61-08-03.1750N,146-14-41.1430W
AK,ALASKA,WRANGELL,WRANGELL,'WRG,56-29-03.6000N,132-22-11.4000W
AK,ALASKA,YAKUTAT,YAKUTAT,'YAK,59-30-11.9640N,139-39-36.9650W
AL,ALABAMA,ANNISTON,ANNISTON RGNL,'ANB,33-35-17.4000N,085-51-29.2000W
AL,ALABAMA,BIRMINGHAM,BIRMINGHAM-SHUTTLESWORTH INTL,'BHM,33-33-50.0000N,086-45-08.3000W
AL,ALABAMA,DOTHAN,DOTHAN RGNL,'DHN,31-19-15.7000N,085-26-58.1000W
AL,ALABAMA,HUNTSVILLE,HUNTSVILLE INTL-CARL T JONES FIELD,'HSV,34-38-13.9000N,086-46-30.2000W
AL,ALABAMA,MOBILE,MOBILE DOWNTOWN,'BFM,30-37-36.4000N,088-04-05.1000W
AL,ALABAMA,MOBILE,MOBILE RGNL,'MOB,30-41-29.1000N,088-14-34.2000W
AL,ALABAMA,MONTGOMERY,MONTGOMERY RGNL (DANNELLY FIELD),'MGM,32-18-02.3000N,086-23-38.3000W
AL,ALABAMA,MUSCLE SHOALS,NORTHWEST ALABAMA RGNL,'MSL,34-44-43.1000N,087-36-36.8000W
AL,ALABAMA,TUSCALOOSA,TUSCALOOSA RGNL,'TCL,33-13-14.2591N,087-36-41.0454W
